uf,beneficiarios_unicos,total_pago
BA,1886119,4112868200.0
SP,1687621,3240480473.0
PE,1205305,2591059864.0
MG,1120933,2331185075.0
CE,1108810,2432858566.0
PA,984942,2315587106.0
MA,982245,2458635266.0
RJ,976032,2037488203.0
PB,532506,1257861381.0
PI,464722,1144174331.0
AM,418671,1120363436.0
AL,417202,942165853.0
PR,406063,751291621.0
RS,397790,773876009.0
RN,372012,812432647.0
GO,320520,585868756.0
SE,294697,587408726.0
ES,204146,405504641.0
MT,170728,325600604.0
SC,138492,267914116.0
MS,137507,279310409.0
TO,123261,268987195.0
AC,92938,293606193.0
DF,87328,174137318.0
RO,84914,150264282.0
AP,78457,209833044.0
RR,54401,130754767.0
