uf,regiao,total_pago_bilhoes,pct_nacional
BA,Nordeste,4.11,12.85
SP,Sudeste,3.24,10.13
PE,Nordeste,2.59,8.1
MA,Nordeste,2.46,7.68
CE,Nordeste,2.43,7.6
MG,Sudeste,2.33,7.28
PA,Norte,2.32,7.24
RJ,Sudeste,2.04,6.37
PB,Nordeste,1.26,3.93
PI,Nordeste,1.14,3.58
AM,Norte,1.12,3.5
AL,Nordeste,0.94,2.94
RN,Nordeste,0.81,2.54
RS,Sul,0.77,2.42
PR,Sul,0.75,2.35
SE,Nordeste,0.59,1.84
GO,Centro-Oeste,0.59,1.83
ES,Sudeste,0.41,1.27
MT,Centro-Oeste,0.33,1.02
AC,Norte,0.29,0.92
MS,Centro-Oeste,0.28,0.87
SC,Sul,0.27,0.84
TO,Norte,0.27,0.84
AP,Norte,0.21,0.66
DF,Centro-Oeste,0.17,0.54
RO,Norte,0.15,0.47
RR,Norte,0.13,0.41
