municipio,uf,pagamentos,media_parcela
UIRAMUTA,RR,18041,445.08
SANTA ROSA DO PURUS,AC,13540,383.67
JORDAO,AC,15903,383.06
MARAA,AM,34117,382.7
CAMPINAPOLIS,MT,13504,378.7
GURUPA,PA,71283,360.76
ENVIRA,AM,34375,360.19
NORMANDIA,RR,23727,359.14
GUAJARA,AM,30766,357.29
CUTIAS,AP,9347,356.84
ATALAIA DO NORTE,AM,24665,356.34
TARAUACA,AC,87326,352.82
JUTAI,AM,39415,345.63
ALGODAO DE JANDAIRA,PB,6156,344.95
MANOEL URBANO,AC,20784,340.56
UARINI,AM,27614,340.37
SANTA QUITERIA DO MARANHAO,MA,59426,339.48
MANCIO LIMA,AC,38607,338.43
PORTO DE MOZ,PA,69665,337.04
SAO GABRIEL DA CACHOEIRA,AM,67453,336.08
