mes_competencia,regiao,total_pago_mi
202001,Centro-Oeste,103.48
202001,Nordeste,1319.9
202001,Norte,360.51
202001,Sudeste,608.05
202001,Sul,134.64
202002,Centro-Oeste,103.24
202002,Nordeste,1318.61
202002,Norte,359.81
202002,Sudeste,605.54
202002,Sul,133.9
202003,Centro-Oeste,103.69
202003,Nordeste,1307.98
202003,Norte,359.33
202003,Sudeste,599.69
202003,Sul,134.72
202004,Centro-Oeste,113.67
202004,Nordeste,1369.05
202004,Norte,374.75
202004,Sudeste,678.01
202004,Sul,150.33
202005,Centro-Oeste,113.9
202005,Nordeste,1369.79
202005,Norte,375.0
202005,Sudeste,677.89
202005,Sul,150.48
202006,Centro-Oeste,113.84
202006,Nordeste,1368.19
202006,Norte,374.48
202006,Sudeste,677.18
202006,Sul,150.58
202007,Centro-Oeste,118.62
202007,Nordeste,1382.7
202007,Norte,381.05
202007,Sudeste,693.81
202007,Sul,156.18
202008,Centro-Oeste,118.52
202008,Nordeste,1381.97
202008,Norte,380.82
202008,Sudeste,693.34
202008,Sul,156.06
202009,Centro-Oeste,119.14
202009,Nordeste,1381.59
202009,Norte,381.24
202009,Sudeste,695.96
202009,Sul,156.72
202010,Centro-Oeste,118.95
202010,Nordeste,1380.24
202010,Norte,380.91
202010,Sudeste,695.1
202010,Sul,156.47
202011,Centro-Oeste,118.95
202011,Nordeste,1379.86
202011,Norte,380.8
202011,Sudeste,695.08
202011,Sul,156.53
202012,Centro-Oeste,118.92
202012,Nordeste,1379.59
202012,Norte,380.7
202012,Sudeste,695.01
202012,Sul,156.49
